iter	Passed	Remaining
0	132	13120
1	170	8376
2	205	6635
3	239	5747
4	272	5182
5	311	4880
6	348	4630
7	384	4419
8	424	4288
9	460	4141
10	498	4035
11	536	3933
12	580	3887
13	619	3803
14	657	3727
15	694	3645
16	727	3552
17	758	3454
18	789	3367
19	820	3281
20	856	3220
21	906	3213
22	948	3174
23	1009	3198
24	1057	3171
25	1111	3163
26	1177	3182
27	1224	3149
28	1269	3108
29	1308	3053
30	1347	2998
31	1389	2953
32	1441	2926
33	1479	2871
34	1526	2834
35	1571	2793
36	1615	2751
37	1658	2705
38	1695	2651
39	1738	2607
40	1777	2558
41	1813	2503
42	1848	2450
43	1880	2393
44	1911	2336
45	1950	2290
46	1983	2236
47	2016	2184
48	2050	2134
49	2082	2082
50	2113	2030
51	2147	1982
52	2182	1935
53	2218	1889
54	2251	1842
55	2285	1795
56	2323	1752
57	2361	1710
58	2394	1663
59	2428	1618
60	2462	1574
61	2495	1529
62	2527	1484
63	2561	1440
64	2595	1397
65	2626	1352
66	2660	1310
67	2693	1267
68	2722	1223
69	2760	1183
70	2792	1140
71	2824	1098
72	2862	1058
73	2896	1017
74	2930	976
75	2970	938
76	3010	899
77	3046	859
78	3082	819
79	3114	778
80	3149	738
81	3181	698
82	3213	658
83	3247	618
84	3282	579
85	3314	539
86	3346	500
87	3381	461
88	3420	422
89	3458	384
90	3494	345
91	3535	307
92	3571	268
93	3604	230
94	3638	191
95	3673	153
96	3705	114
97	3739	76
98	3775	38
99	3808	0
